trip_nb,local_dtm,latitude,longitude
1,19MAY17:07:38:20,40.053291,-83.077148
1,19MAY17:07:38:21,40.053257,-83.077072
1,19MAY17:07:38:22,40.053349,-83.077057
1,19MAY17:07:38:23,40.053375,-83.076942
1,19MAY17:07:38:24,40.053402,-83.076859
1,19MAY17:07:38:25,40.053375,-83.076767
1,19MAY17:07:38:26,40.053371,-83.07666
1,19MAY17:07:38:27,40.053364,-83.076485
1,19MAY17:07:38:28,40.053352,-83.07634
1,19MAY17:07:38:29,40.053352,-83.076225
1,19MAY17:07:38:30,40.053337,-83.076096
1,19MAY17:07:38:31,40.053322,-83.075989
1,19MAY17:07:38:32,40.053337,-83.075935
1,19MAY17:07:38:33,40.053345,-83.075851
1,19MAY17:07:38:34,40.053391,-83.075806
1,19MAY17:07:38:35,40.053425,-83.07576
1,19MAY17:07:38:36,40.053413,-83.075729
1,19MAY17:07:38:37,40.053452,-83.075706
1,19MAY17:07:38:38,40.053528,-83.075691
1,19MAY17:07:38:39,40.053699,-83.075699
1,19MAY17:07:38:40,40.053848,-83.075722
1,19MAY17:07:38:41,40.05397,-83.075752
1,19MAY17:07:38:43,40.054031,-83.075783
1,19MAY17:07:38:44,40.054131,-83.075745
1,19MAY17:07:38:45,40.054237,-83.075676
1,19MAY17:07:38:46,40.05447,-83.075699
1,19MAY17:07:38:47,40.054546,-83.075668
1,19MAY17:07:38:48,40.05468,-83.075676
1,19MAY17:07:38:49,40.054764,-83.075653
1,19MAY17:07:38:50,40.054901,-83.075699
1,19MAY17:07:38:51,40.055004,-83.075722
1,19MAY17:07:38:53,40.055206,-83.075676
1,19MAY17:07:38:54,40.05534,-83.075668
1,19MAY17:07:38:55,40.055439,-83.075615
1,19MAY17:07:38:56,40.055664,-83.075653
1,19MAY17:07:38:57,40.05584,-83.075676
1,19MAY17:07:38:58,40.055859,-83.075645
1,19MAY17:07:38:59,40.055939,-83.075607
1,19MAY17:07:39:00,40.05611,-83.07563
1,19MAY17:07:39:01,40.05619,-83.075607
1,19MAY17:07:39:02,40.056278,-83.0756
1,19MAY17:07:39:03,40.056389,-83.075623
1,19MAY17:07:39:04,40.056664,-83.075607
1,19MAY17:07:39:05,40.05677,-83.075577
1,19MAY17:07:39:06,40.056892,-83.075531
1,19MAY17:07:39:07,40.056999,-83.075516
1,19MAY17:07:39:08,40.057098,-83.075478
1,19MAY17:07:39:09,40.057186,-83.075447
1,19MAY17:07:39:10,40.057232,-83.075439
1,19MAY17:07:39:11,40.057381,-83.075455
1,19MAY17:07:39:12,40.057449,-83.075439
1,19MAY17:07:39:15,40.057529,-83.075508
1,19MAY17:07:39:16,40.057529,-83.075478
1,19MAY17:07:39:17,40.057571,-83.075462
1,19MAY17:07:39:19,40.057629,-83.075523
1,19MAY17:07:39:20,40.057625,-83.075523
1,19MAY17:07:39:21,40.057625,-83.075508
1,19MAY17:07:39:22,40.057625,-83.075516
1,19MAY17:07:39:23,40.057709,-83.075546
1,19MAY17:07:39:24,40.057713,-83.075539
1,19MAY17:07:39:25,40.057682,-83.075539
1,19MAY17:07:39:26,40.057739,-83.075562
1,19MAY17:07:39:27,40.057758,-83.075577
1,19MAY17:07:39:28,40.057709,-83.075539
1,19MAY17:07:39:29,40.057652,-83.075508
1,19MAY17:07:39:30,40.05759,-83.075485
1,19MAY17:07:39:31,40.057568,-83.075478
1,19MAY17:07:39:32,40.057575,-83.075485
1,19MAY17:07:39:33,40.057568,-83.075478
1,19MAY17:07:39:34,40.057343,-83.075386
1,19MAY17:07:39:35,40.057312,-83.075386
1,19MAY17:07:39:36,40.057274,-83.075378
1,19MAY17:07:39:37,40.057262,-83.075371
1,19MAY17:07:39:38,40.057236,-83.075363
1,19MAY17:07:39:40,40.057194,-83.075348
1,19MAY17:07:39:41,40.057175,-83.075348
1,19MAY17:07:39:51,40.057377,-83.075531
1,19MAY17:07:39:52,40.057404,-83.075531
1,19MAY17:07:39:53,40.057442,-83.075539
1,19MAY17:07:39:54,40.057709,-83.075623
1,19MAY17:07:39:55,40.057671,-83.075607
1,19MAY17:07:39:56,40.057652,-83.075615
1,19MAY17:07:39:57,40.057629,-83.075615
1,19MAY17:07:39:58,40.057449,-83.075554
1,19MAY17:07:39:59,40.057503,-83.075592
1,19MAY17:07:40:00,40.057495,-83.0756
1,19MAY17:07:40:02,40.057522,-83.075623
1,19MAY17:07:40:03,40.05751,-83.075615
1,19MAY17:07:40:04,40.057491,-83.075607
1,19MAY17:07:40:05,40.057468,-83.075592
1,19MAY17:07:40:06,40.057468,-83.0756
1,19MAY17:07:40:07,40.057472,-83.075607
1,19MAY17:07:40:08,40.057484,-83.075607
1,19MAY17:07:40:09,40.057487,-83.075607
1,19MAY17:07:40:10,40.057499,-83.075607
1,19MAY17:07:40:11,40.057503,-83.0756
1,19MAY17:07:40:12,40.057529,-83.075607
1,19MAY17:07:40:14,40.057529,-83.075554
1,19MAY17:07:40:15,40.057549,-83.075531
1,19MAY17:07:40:16,40.057579,-83.075523
1,19MAY17:07:40:17,40.057617,-83.075531
1,19MAY17:07:40:18,40.057655,-83.075539
1,19MAY17:07:40:19,40.05769,-83.075523
1,19MAY17:07:40:20,40.057705,-83.0755
1,19MAY17:07:40:21,40.057713,-83.075462
1,19MAY17:07:40:22,40.05772,-83.075417
1,19MAY17:07:40:23,40.057755,-83.075195
1,19MAY17:07:40:24,40.057941,-83.075165
1,19MAY17:07:40:25,40.058167,-83.075218
1,19MAY17:07:40:26,40.058285,-83.075195
1,19MAY17:07:40:27,40.058414,-83.075233
1,19MAY17:07:40:28,40.05851,-83.075249
1,19MAY17:07:40:29,40.058598,-83.075195
1,19MAY17:07:40:30,40.058727,-83.07518
1,19MAY17:07:40:31,40.058849,-83.075172
1,19MAY17:07:40:32,40.058983,-83.075172
1,19MAY17:07:40:33,40.059113,-83.07515
1,19MAY17:07:40:34,40.059242,-83.075157
1,19MAY17:07:40:35,40.059345,-83.07515
1,19MAY17:07:40:36,40.059479,-83.075157
1,19MAY17:07:40:37,40.059601,-83.07515
1,19MAY17:07:40:38,40.059711,-83.07515
1,19MAY17:07:40:40,40.059818,-83.075127
1,19MAY17:07:40:41,40.059944,-83.075111
1,19MAY17:07:40:42,40.060066,-83.075111
1,19MAY17:07:40:43,40.060184,-83.075104
1,19MAY17:07:40:44,40.060299,-83.075096
1,19MAY17:07:40:45,40.060429,-83.075104
1,19MAY17:07:40:46,40.060555,-83.075089
